Nome;Nazione;Citta;Indirizzo;Latitudine;Longitudine;Fascia_di_prezzo;Delivery;Online;Tipo_di_cucina
Anafe;Argentina;Buenos Aires;Virrey AvilA c s 3216 Buenos Aires C1426EEH Argentina;-345.739.293;-584.590.023;10;No;No;Contemporary
Reliquia;Argentina;Buenos Aires;Angel Justiniano Carranza 1601 Buenos Aires C1414COQ Argentina;-345.832.681;-584.392.531;10;No;No;Argentinian
RepAoblica del Fuego;Argentina;Buenos Aires;Juncal 2682 Buenos Aires C1425AYF Argentina;-345.898.046;-584.042.439;10;No;No;Grills Argentinian
Caseros;Argentina;Buenos Aires;Avenida Caseros 486 Buenos Aires C1152AAN Argentina;-346.267.862;-583.721.967;10;No;No;Traditional Cuisine Home Cooking
Jen Ho Yuan;Argentina;Buenos Aires;2F 112 Section 2 Zhongshan North Road Zhongshan District Taipei Taiwan;250.606.474;1.215.226.418;10;No;No;Yunnanese
Divinis;Argentina;Buenos Aires;TA 1 2nskA 21 Prague 110 00 Czech Republic;500.888.884;144.241.123;1000;No;No;Italian
DejvickA 34 by TomA A AOEernA 1 2;Taiwan;Taipei;DejvickA 34 Prague 16000 Czechia;500.987.928;143.992.062;1000;No;No;Italian Czech
The Eatery;Czech Republic;Prague;U Uranie 954 18 Prague 170 00 Czechia;501.074.835;144.507.679;1000;No;No;Czech Contemporary
Na Kopci;Czech Republic;Prague;K ZA vA rce 2774 20 Prague 150 00 Czech Republic;500.565.809;144.022.237;1000;No;No;Traditional Cuisine
Manao;Czechia;Prague;2F 18 Hannam-daero 21-gil Yongsan-gu Seoul 04401 South Korea;3.753.411;12.700.613;1000;No;No;Thai
Born and Bred;Czechia;Prague;B1F Paradise Hotel 296 Haeundaehaebyeon-ro Haeundae-gu Busan 48099 South Korea;3.516.013;12.916.468;1000;No;No;Steakhouse
Sool052;South Korea;Seoul;26 Gosanja-ro 14-gil Seongdong-gu Seoul 04750 South Korea;3.756.344;12.703.766;1000;No;No;Korean
Tim Ho Wan;South Korea;Busan;30 Bongeunsa-ro 86-gil Gangnam-gu Seoul 06165 South Korea;375.115.769;1.270.567.982;100;No;No;Dim Sum
Trid;South Korea;Seoul;2F 16 Seolleung-ro 162-gil Gangnam-gu Seoul 06014 South Korea;375.267.383;1.270.416.702;1000;No;No;Contemporary American Contemporary
Toh Lim;South Korea;Seoul;37F Lotte Hotel 30 Eulji-ro Jung-gu Seoul 04533 South Korea;37.566;1.269.784;1000;No;No;Chinese
Yakitori Mook;South Korea;Seoul;165-1 Seongmisan-ro Mapo-gu Seoul 03980 South Korea;3.756.461;12.692.449;1000;No;No;Yakitori
Oegojip Seolleongtang;South Korea;Seoul;555 Samseong-ro Gangnam-gu Seoul 06155 South Korea;3.751.097;12.705.388;100;No;No;Seolleongtang
Restaurant OY;South Korea;Seoul;B1F 48-12 Seolleung-ro 148-gil Gangnam-gu Seoul 06064 South Korea;375.222.697;1.270.432.627;1000;No;No;French Contemporary
Pierre Gagnaire;South Korea;Seoul;35F Lotte Hotel 30 Eulji-ro Jung-gu Seoul 04533 South Korea;3.756.529;12.698.103;1000;No;No;French
Torafuguga;South Korea;Seoul;480 Jwadongsunhwan-ro Haeundae-gu Busan 48103 South Korea;3.516.417;1.291.699;1000;No;No;Fugu Pufferfish
Sooksoodoga;South Korea;Seoul;28 Dongsomun-ro 17-gil Seongbuk-gu Seoul 02830 South Korea;375.935;12.701.539;1000;No;No;Barbecue
Hakusi;South Korea;Busan;2F 6 Dokseodang-ro 29-gil Yongsan-gu Seoul 04419 South Korea;3.753.667;12.701.157;1000;No;No;Japanese
Tenjimon;South Korea;Seoul;4F 41 Hakdong-ro 97-gil Gangnam-gu Seoul 06072 South Korea;3.752.237;12.705.429;1000;No;No;Japanese
JUE;South Korea;Seoul;124-7 Dokseodang-ro Yongsan-gu Seoul 04420 South Korea;3.753.744;12.701.277;1000;No;No;Chinese
Epanoui;South Korea;Seoul;3F 33 Seolleung-ro 146-gil Gangnam-gu Seoul 06064 South Korea;3.752.187;12.704.254;1000;No;No;French
Mugunghwa;South Korea;Seoul;38F Lotte Hotel 30 Eulji-ro Jung-gu Seoul 04533 South Korea;3.756.533;126.981;1000;No;No;Korean
Bongsanok;South Korea;Seoul;5-6 Banpo-daero 8-gil Seocho-gu Seoul 06716 South Korea;3.748.336;12.701.242;100;No;No;Mandu
Teppan;South Korea;Seoul;B1F Grand Hyatt Hotel 322 Sowol-ro Yongsan-gu Seoul 04347 South Korea;3.753.929;1.269.971;1000;No;No;Teppanyaki
Born and Bred;South Korea;Seoul;2F 1 Majang-ro 42-gil Seongdong-gu Seoul 04757 South Korea;3.756.697;12.704.468;1000;No;No;Barbecue
Bongmilga;South Korea;Seoul;664 Seolleung-ro Gangnam-gu Seoul 06088 South Korea;3.751.598;1.270.424;100;No;No;Naengmyeon
Bistrot de Yountville;South Korea;Seoul;13-7 Seolleung-ro 158-gil Gangnam-gu Seoul 06014 South Korea;3.752.602;12.704.126;1000;No;No;French
Boreumsae;South Korea;Seoul;36 Teheran-ro 81-gil Gangnam-gu Seoul 06167 South Korea;37.509.328;127.056.611;1000;No;No;Barbecue
The Green Table;South Korea;Seoul;4F Arario Space 83 Yulgok-ro Jongno-gu Seoul 03058 South Korea;3.757.781;12.698.829;1000;No;No;French
The Ninth Gate;South Korea;Seoul;1F The Westin Chosun Hotel 106 Sogong-ro Jung-gu Seoul 04533 South Korea;375.644;12.697.969;1000;No;No;French
ON;South Korea;Seoul;B1F 42 Dosan-daero 92-gil Gangnam-gu Seoul 06070 South Korea;3.752.192;12.704.938;1000;No;No;French
Tongue Groove Joint;South Korea;Seoul;7 Bogwang-ro 60-gil Yongsan-gu Seoul 04406 South Korea;3.753.404;12.699.451;1000;No;No;Barbecue
STAY;South Korea;Seoul;81F Lotteworld Tower 300 Olympic-ro Songpa-gu Seoul 05551 South Korea;3.751.271;12.710.258;1000;No;No;French
Kyoyang Siksa;South Korea;Seoul;238 Itaewon-ro Yongsan-gu Seoul 04400 South Korea;3.753.592;12.699.994;100;No;No;Barbecue
Nampo Myeonok;South Korea;Seoul;24 Eulji-ro 3-gil Jung-gu Seoul 04522 South Korea;37.567.269;126.981.609;100;No;No;Naengmyeon
July;South Korea;Seoul;164 Donggwang-ro Seocho-gu Seoul 06589 South Korea;3.749.475;12.700.008;1000;No;No;Contemporary
Crystal Jade;South Korea;Seoul;B1F 16 Namdaemun-ro 7-gil Jung-gu Seoul 04533 South Korea;37.564.311;126.981.212;1000;No;No;Chinese
Comme Moa;South Korea;Seoul;56 Sinheung-ro Yongsan-gu Seoul 04339 South Korea;3.754.344;1.269.877;1000;No;No;French
Jinmi Sikdang;South Korea;Seoul;186-6 Mapo-daero Mapo-gu Seoul 04207 South Korea;3.755.055;12.695.577;1000;No;No;Gejang
Budnamujip;South Korea;Seoul;434 Hyoryeong-ro Seocho-gu Seoul 06729 South Korea;3.748.907;12.703.118;1000;No;No;Barbecue
Doughroom;South Korea;Seoul;2F 99 Donggwang-ro Seocho-gu Seoul 06584 South Korea;37.566;1.269.784;1000;No;No;Italian
Gom Ba Wie;South Korea;Seoul;10 Yeongdong-daero 115-gil Gangnam-gu Seoul 06087 South Korea;3.751.485;12.705.885;1000;No;No;Barbecue
L Impasse 81;South Korea;Seoul;17-1 Donggyo-ro 30-gil Mapo-gu Seoul 03985 South Korea;3.756.018;12.692.521;1000;No;No;French
Yongkangzzie;South Korea;Seoul;10 Gwanganhaebyeon-ro 277 beon-gil Suyeong-gu Busan 48287 South Korea;3.515.639;12.912.424;100;No;No;Noodles Taiwanese
Eonyang Bulgogi Busanjip;South Korea;Seoul;32 Namcheonbada-ro Suyeong-gu Busan 48304 South Korea;3.514.788;12.911.357;100;No;No;Bulgogi
Namakzip;South Korea;Busan;1068 A W square 145 Bunpo-ro Nam-gu Busan 48515 South Korea;3.513.461;12.911.187;100;No;No;Dwaeji-gukbap
Delibong;South Korea;Busan;110 Noblesse square 25 Singeum-ro Yeonje-gu Busan 47560 South Korea;3.519.148;12.909.437;1000;No;No;French
Dim Tao;South Korea;Busan;25 Udong 1-ro Haeundae-gu Busan 48088 South Korea;3.516.394;12.915.647;100;No;No;Dim Sum
Zero Base;South Korea;Busan;2F 17 Millak-ro 33 beon-gil Suyeong-gu Busan 48285 South Korea;3.515.741;12.912.097;1000;No;No;Japanese
Lee Buk Bang;South Korea;Busan;2F 16 Mapo-daero 1-gil Mapo-gu Seoul 04165 South Korea;375.396.777;1.269.431.187;1000;No;No;Korean
Restaurant Jueun;South Korea;Busan;8F Gyeonghuidang 36 Gyeonghuigung-gil Jongno-gu Seoul 03175 South Korea;3.757.276;12.696.991;1000;No;No;Korean Classic Cuisine
One Degree North;South Korea;Seoul;8 Hakdong-ro 43-gil Gangnam-gu Seoul 06061 South Korea;37.516.773;127.037.424;100;No;No;Asian Singaporean
Chez Nous Private Kitchen;South Korea;Seoul;3F 210-6 Noksapyeong-Daero Yongsan-gu Seoul 04345 South Korea;3.753.634;12.698.734;1000;No;No;French
Kojacha;South Korea;Seoul;17 Hakdong-ro 97-gil Gangnam-gu Seoul 06072 South Korea;3.752.083;12.705.519;1000;No;No;Asian
Kirameki;South Korea;Seoul;18 Dosan-daero 28-gil Gangnam-gu Seoul 06040 South Korea;3.751.808;12.702.822;1000;No;No;Japanese
Rialto;South Korea;Seoul;2F 13 Samseong-ro 149-gil Gangnam-gu Seoul 06063 South Korea;3.752.318;12.704.655;1000;No;No;Italian
Chaoran;South Korea;Seoul;5F Signiel 30 Dalmaji-gil Haeundae-gu Busan 48099 South Korea;3.516.021;12.916.988;1000;No;No;Chinese Cantonese
Mr Ahn s Craft Makgeolli;South Korea;Seoul;3 Hoenamu-ro Yongsan-gu Seoul 04343 South Korea;3.753.858;1.269.874;1000;No;No;Korean
Chez Simon;South Korea;Busan;48 World Cup-ro 10-gil Mapo-gu Seoul 04003 South Korea;3.755.517;12.691.419;1000;No;No;French
Continental;South Korea;Seoul;23F The Shilla Hotel 249 Dongho-ro Jung-gu Seoul 04605 South Korea;375.558.213;12.700.517;1000;No;No;French
Palais de Chine;South Korea;Seoul;6F L Escape Hotel 67 Toegye-ro Jung-gu Seoul 04529 South Korea;3.755.983;12.697.949;1000;No;No;Chinese
Moulin;South Korea;Seoul;8 Jahamun-ro 16-gil Jongno-gu Seoul 03043 South Korea;375.814.682;1.269.718.836;1000;No;No;French Modern French
Olh Eum;South Korea;Seoul;3F 37 Seolleung-ro 152-gil Gangnam-gu Seoul 06016 South Korea;3.752.451;12.704.266;1000;No;No;Contemporary
Jinmi Pyeongyang Naengmyeon;South Korea;Seoul;305-3 Hakdong-ro Gangnam-gu Seoul 06061 South Korea;37.516.114;127.036.202;100;No;No;Naengmyeon
Minami;South Korea;Seoul;31-2 Seocho-daero 58-gil Seocho-gu Seoul 06632 South Korea;374.933;1.270.181;100;No;No;Soba
Hadongkwan;South Korea;Seoul;12 Myeongdong 9-gil Jung-gu Seoul 04538 South Korea;3.756.439;12.698.501;100;No;No;Gomtang
Wooga;South Korea;Seoul;B1F 22 Dosan-daero 49-gil Gangnam-gu Seoul 06019 South Korea;3.752.432;12.703.734;1000;No;No;Barbecue
Pyeongyang Myeonok;South Korea;Seoul;207 Jangchungdan-ro Jung-gu Seoul 04615 South Korea;3.756.325;12.700.664;100;No;No;Naengmyeon
Ryunique;South Korea;Seoul;8-1 Dosan-daero 45-gil Gangnam-gu Seoul 06021 South Korea;3.752.291;12.703.599;1000;No;No;Innovative
Table for Four;South Korea;Seoul;5F 25-12 Daesagwan-ro 31-gil Yongsan-gu Seoul 04401 South Korea;3.753.468;12.700.523;1000;No;No;Contemporary
L Espoir du Hibou;South Korea;Seoul;16 Dosan-daero 59-gil Gangnam-gu Seoul 06016 South Korea;375.245;12.704.227;1000;No;No;French
Imun Seolnongtang;South Korea;Seoul;38-13 Ujeongguk-ro Jongno-gu Seoul 03149 South Korea;3.757.272;12.698.388;100;No;No;Seolleongtang
Vigneto;South Korea;Seoul;55 Suyeong-ro 522 beon-gil Suyeong-gu Busan 48299 South Korea;3.515.182;12.911.473;100;No;No;Italian
Mater;South Korea;Seoul;B1F 16 Eonju-ro 154-gil Gangnam-gu Seoul 06021 South Korea;3.752.337;12.703.464;1000;No;No;Contemporary Scandinavian
Haenam Cheonilgwan;South Korea;Busan;36-1 Banpo-daero 39-gil Seocho-gu Seoul 06578 South Korea;3.749.862;12.700.195;1000;No;No;Korean
Sogonggan;South Korea;Seoul;4F 47 Haeundaehaebyon-ro 298 beon-gil Haeundae-gu Busan 48099 South Korea;3.516.168;12.916.738;1000;No;No;Korean
Mustrue;South Korea;Seoul;29 Jwadongsunhwan-ro 433 beon-gil Haeundae-gu Busan 48114 South Korea;3.516.149;12.917.634;1000;No;No;European
Aelgerizm;South Korea;Busan;2F 8 Dosan-daero 49-gil Gangnam-gu Seoul 06019 South Korea;375.233.164;1.270.374.241;1000;No;No;Contemporary Japanese Contemporary
Sobajuu;South Korea;Busan;B1 22 75 Keunumul-ro Mapo-gu Seoul 04158 South Korea;3.754.126;12.694.629;1000;No;No;Japanese
PERIGEE;South Korea;Seoul;6-5 Bongeunsa-ro 68-gil Gangnam-gu Seoul 06153 South Korea;3.751.126;12.704.949;1000;No;No;Contemporary
RMW Carne;South Korea;Seoul;2F 12 Daesagwan-ro 5-gil Yongsan-gu Seoul 04400 South Korea;3.753.483;12.700.085;1000;No;No;Steakhouse
Yakitori Kiyu;South Korea;Seoul;31 Dohwa 4-gil Mapo-gu Seoul 04169 South Korea;3.754.059;12.695.149;1000;No;No;Yakitori
Sanro;South Korea;Seoul;2F 518 Dosan-daero Gangnam-gu Seoul 06070 South Korea;3.752.417;12.704.978;1000;No;No;Japanese
Iwa;South Korea;Seoul;2F 13 Haeundaehaebyeon-ro 209 beon-gil Haeundae-gu Busan 48093 South Korea;3.515.959;12.915.384;1000;No;No;Japanese
ELPIC;South Korea;Seoul;25 Dosan-daero 78-gil Gangnam-gu Seoul 06063 South Korea;3.752.237;12.704.659;1000;No;No;Steakhouse
Al aise;South Korea;Busan;89 Dokseodang-ro Yongsan-gu Seoul 04419 South Korea;3.753.479;12.701.029;1000;No;No;French
Gucci Osteria da Massimo Bottura;South Korea;Seoul;6F 223 Itaewon-ro Yongsan-gu Seoul 04349 South Korea;3.753.545;12.699.856;1000;No;No;Italian
SIIO;South Korea;Seoul;33 Dosan-daero 54-gil Gangnam-gu Seoul 06056 South Korea;375.205.428;1.270.391.949;1000;No;No;Contemporary Japanese Contemporary
Zhonghuafuchun Salon;South Korea;Seoul;10 Yeonnam-ro Mapo-gu Seoul 03989 South Korea;3.756.068;12.692.335;1000;No;No;Chinese
Kumsu Bokguk;South Korea;Seoul;23 Jungdong 1-ro 43 beon-gil Haeundae-gu Busan 48095 South Korea;3.516.242;1.291.645;1000;No;No;Fugu Pufferfish
Essence;South Korea;Seoul;12 Banpo-daero 4-gil Seocho-gu Seoul 06719 South Korea;3.748.179;12.701.336;1000;No;No;French
OPNNG;South Korea;Busan;B1 22 Dosan-daero 34-gil Gangnam-gu Seoul 06049 South Korea;3.751.844;12.703.105;1000;No;No;Contemporary
Haeundae Rib Barbecue Restaurant;South Korea;Seoul;333 Haunedahaebyeon-ro Haeundae-gu Busan 48096 South Korea;3.516.324;12.916.629;1000;No;No;Barbecue
GAGGEN by Choi Junho;South Korea;Seoul;2F 19-1 Apgujeong-ro 80-gil Gangnam-gu Seoul 06015 South Korea;3.752.451;12.704.523;1000;No;No;Japanese
Borgo Hannam;South Korea;Busan;3F 31 Itaewon-ro 54-gil Yongsan-gu Seoul 04400 South Korea;3.753.687;12.700.187;1000;No;No;Italian
De Tempore;South Korea;Seoul;37 Hannam-daero Yongsan-gu Seoul 04410 South Korea;37.532.213;1.270.081.086;1000;No;No;French
Outro by Vito;South Korea;Seoul;18 Millakbondong-ro 19 beon-gil Suyeong-gu Busan 48087 South Korea;3.515.835;12.912.786;1000;No;No;European
Hong Yuan;South Korea;Seoul;1F The Westin Chosun Hotel 106 Sogong-ro Jung-gu Seoul 04533 South Korea;3.756.441;1.269.797;1000;No;No;Chinese
Osteria Aboo;South Korea;Busan;58 Dongcheon-ro Busanjin-gu Busan 47297 South Korea;3.515.394;12.906.253;1000;No;No;Italian
Eutteum Iroribata;South Korea;Seoul;20 Suyeong-ro 408 beon-gil Suyeong-gu Busan 48308 South Korea;351.373.479;1.290.292.733;1000;No;No;Japanese
Au Bouillon;South Korea;Busan;29-1 Dokseodang-ro 51-gil Seongdong-gu Seoul 04718 South Korea;375.311.165;1.270.073.647;1000;No;No;French Classic French
Kushi Kawa;South Korea;Busan;37 Nonhyeon-ro 24-gil Gangnam-gu Seoul 06300 South Korea;3.748.268;12.704.566;1000;No;No;Kushiage
Osteria Orzo;South Korea;Seoul;2F 47 Hannam-daero 20-gil Yongsan-gu Seoul 04419 South Korea;3.753.486;12.700.946;1000;No;No;Italian
Seoul Dining;South Korea;Seoul;2F Designhouse 272 Dongho-ro Jung-gu Seoul 04617 South Korea;3.755.919;12.700.359;1000;No;No;Contemporary
Byeokje Galbi;South Korea;Seoul;1-4 Yangjae-daero 71-gil Songpa-gu Seoul 05639 South Korea;3.751.007;12.712.619;1000;No;No;Barbecue
Mimi Myeonga;South Korea;Seoul;29 Gangnam-daero 160-gil Gangnam-gu Seoul 06028 South Korea;3.752.003;12.702.108;100;No;No;Soba
Toc Toc;South Korea;Seoul;3F 41 Hakdong-ro 97-gil Gangnam-gu Seoul 06072 South Korea;3.752.237;12.705.429;1000;No;No;Contemporary
Vault Steakhouse;South Korea;Seoul;2F 22 Apgujeong-ro 72-gil Gangnam-gu Seoul 06015 South Korea;3.752.496;12.704.496;1000;No;No;Steakhouse
Samwon Garden;South Korea;Seoul;835 Eonju-ro Gangnam-gu Seoul 06023 South Korea;3.752.499;12.703.297;1000;No;No;Barbecue
Baek Nyun Ok;South Korea;Seoul;2407 Nambusunhwan-ro Seocho-gu Seoul 06719 South Korea;3.748.115;12.701.374;100;No;No;Dubu
Ichiryu;South Korea;Seoul;44 Jandari-ro 3 an-gil Mapo-gu Seoul 04043 South Korea;3.755.061;12.691.913;1000;No;No;Barbecue
Ramsey;South Korea;Seoul;3F 38 Gwanganhaebyeon-ro 284 beon-gil Suyeong-gu Busan 48285 South Korea;3.515.333;12.912.528;1000;No;No;French
L Essence;South Korea;Seoul;3F 17 Gwangnam-ro 22 beon-gil Suyeong-gu Busan 48307 South Korea;3.514.477;12.911.062;1000;No;No;French
Yakitori Haegong;South Korea;Busan;30-5 Millakbondong-ro 19 beon-gil Suyoeng-gu Busan 48290 South Korea;3.515.823;12.912.712;1000;No;No;Yakitori
Le dorer;South Korea;Busan;2F 37 Marine city 3-ro Haeundae-gu Busan 48118 South Korea;3.515.543;12.914.665;1000;No;No;Contemporary
Chef Gon;South Korea;Busan;12 Junggu-ro 23 beon-gil Jung-gu Busan 48978 South Korea;3.510.011;12.902.731;1000;No;No;Contemporary
L A c tang;South Korea;Busan;22 Seongji-ro Busanjin-gu Busan 47123 South Korea;3.517.255;12.905.523;1000;No;No;French
Cha Ae Jeon Halmae Kalguksu;South Korea;Busan;70 Gwajeong-ro 191 beonga-gil Yeonje-gu Busan 47558 South Korea;3.518.716;12.910.249;100;No;No;Kalguksu
Good morning Hongkong;South Korea;Busan;19 Seojeon-ro 47 beon-gil Busanjin-gu Busan 47247 South Korea;3.515.875;12.906.444;100;No;No;Chinese
Il Vecchio;South Korea;Busan;332-12 World Cup buk-ro Mapo-gu Seoul 03930 South Korea;375.763;12.689.462;1000;No;No;Italian
Ile de Cheongdam;South Korea;Busan;2F 13 Dosan-daero 59-gil Gangnam-gu Seoul 06016 South Korea;3.752.466;12.704.189;1000;No;No;Contemporary
L OIGNON;South Korea;Seoul;13-4 Apgujoeng-ro 4-gil Gangnam-gu Seoul 06028 South Korea;3.752.177;12.702.053;1000;No;No;French
Klinker;South Korea;Seoul;Schlankreye 73 Hamburg 20144 Germany;535.773.536;99.770.186;1000;No;No;Modern Cuisine Vegetarian
Edda Brasserie;South Korea;Seoul;Platzgasse 26 Ulm 89073 Germany;484.010.173;99.911.312;1000;No;No;Seasonal Cuisine Farm to table
VOX;Germany;Hamburg;Marlene-Dietrich-Platz 2 Berlin 10785 Germany;525.080.245;133.724.598;1000;No;No;Modern Cuisine Sushi
Herrenhaus;Germany;Ulm;Herrengasse 17 Wasserburg am Inn 83512 Germany;480.612.626;122.326.424;1000;No;No;Farm to table
June;Germany;Berlin;SeestraAYe 10 Aoebersee 83236 Germany;478.405.088;124.743.211;1000;No;No;Regional Cuisine Modern Cuisine
Einhorn;Germany;Wasserburg am Inn;HauptstraAYe 55 Oppenweiler 71570 Germany;489.837.947;94.588.658;1000;No;No;Classic Cuisine Traditional Cuisine
Mendi Goikoa Bekoa;Germany;Aoebersee;Barrio San Juan 38 Axpe 48290 Spain;431.145.535;-26.020.535;1000;No;No;Basque
Aire;Germany;Oppenweiler;Avenida de Pries 16 Malaga 29016 Spain;367.212.534;-44.061.352;1000;No;No;Contemporary
Trasmallo;Spain;Axpe;Figueroa 14 Pontevedra 36002 Spain;424.325.916;-86.435.703;100;No;No;Contemporary International
La Cuchara de Ruba;Spain;Malaga;Esperanza 18 Biescas 22630 Spain;4.262.843;-0.3204;100;No;No;Traditional Cuisine
Demo;Spain;Pontevedra;Plaza de HernA ndez Amores 4 Murcia 30001 Spain;379.848.187;-11.284.147;1000;No;No;Farm to table
El Gran Asador Lecanda;Spain;Biescas;Lagasca 46 Madrid 28001 Spain;404.256.262;-36.853.404;1000;No;No;Grills
Casa de Comidas;Spain;Murcia;Padre DamiA n 23 Madrid 28001 Spain;4.045.855;-36.856;1000;No;No;Traditional Cuisine
Arraigo;Spain;Madrid;Avenida Oviedo 19 Posada de Llanera 33424 Spain;434.366.025;-58.472.485;1000;No;No;Contemporary Regional Cuisine
Fields by RenA c Mathieu;Spain;Madrid;6 Rue de TrA ves Findel 2632 Luxembourg;496.281.524;62.030.348;1000;No;No;Seasonal Cuisine Vegetarian
Archibald De Prince;Spain;Posada de Llanera;Maison 6 Lauterborn 6562 Luxembourg;4.980.764;641.024;1000;No;No;Organic Creative
Jacobin;Luxembourg;Findel;Predikherenstraat 13 Brugge 8000 Belgium;512.084.616;32.303.879;1000;No;No;Seasonal Cuisine
L Esprit de Village;Luxembourg;Lauterborn;Place Obert de Thieusies 10 Thoricourt 7830 Belgium;506.108.341;39.501.656;1000;No;No;French Farm to table
De Lindehoeve;Belgium;Brugge;Zavelberg 12 Tessenderlo 3980 Belgium;510.507.121;50.396.278;1000;No;No;Modern French
Palais Royal by David Martin;Belgium;Thoricourt;Rue Royale 103 Brussels 1000 Belgium;508.511.882;43.648.482;1000;No;No;Modern French
BagA1;Belgium;Tessenderlo;Avenue de Ragnies 14 Thuin 6530 Belgium;50.339.726;42.816.182;1000;No;No;Seasonal Cuisine French
Au repos de la montagne;Belgium;Brussels;Montagne de Saint-Job 39 Uccle 1180 Belgium;507.930.931;43.656.481;1000;No;No;Traditional Cuisine
Eliane;Belgium;Thuin;Rue Saint-Laurent 36 Brussels 1000 Belgium;508.506.259;43.600.319;1000;No;No;Creative
Taberna Bask;Belgium;Uccle;Doorgang der Hallegasten 14 Ledeberg 9050 Belgium;510.406.274;37.406.761;1000;No;No;Spanish Modern Cuisine
CibA;Belgium;Brussels;Rua do Castelo 15 LeASSa da Palmeira 4450-632 Portugal;411.882.204;-87.032.532;1000;No;No;Regional European Contemporary
Kaigi;Belgium;Ledeberg;Rua De EugA c nio De Castro 226 Porto 4100-225 Portugal;411.636.883;-86.479.358;1000;No;No;Japanese
Avista Asia;Portugal;LeASSa da Palmeira;Estrada Monumental 145 Funchal 9004-532 Portugal;326.395.131;-169.256.067;1000;No;No;Fusion Asian Influences
Suba;Portugal;Porto;Rua de Santa Catarina 1 Lisbon 1200-401 Portugal;387.097.117;-91.471.823;1000;No;No;Contemporary Modern Cuisine
Al Quimia;Portugal;Funchal;Pinhal do Concelho Albufeira 8200-593 Portugal;370.884.795;-8.168.184;1000;No;No;Modern Cuisine
A Carvalheira;Portugal;Lisbon;Rua do Eido Velho 73 Ponte de Lima 4990-620 Portugal;417.390.681;-8.561.671;100;No;No;Traditional Cuisine
Plano;Portugal;Albufeira;Rua da Bela Vista A GraASSa 126 Lisbon 1170-075 Portugal;387.196.908;-91.265.564;1000;No;No;Contemporary
Marinheiro;Portugal;Ponte de Lima;Rua Gomes de Amorim 1842 PA3voa de Varzim 4490-091 Portugal;413.982.949;-87.665.853;1000;No;No;Seafood
Willie s;Portugal;Lisbon;Rua do Brasil 2 Vilamoura 8125-479 Portugal;370.942.395;-8.108.369;1000;No;No;International
Porto de Santa Maria;Portugal;PA3voa de Varzim;Praia do Guincho Cascais 2750-642 Portugal;387.247.414;-94.749.123;1000;No;No;Seafood
CafeAna;Portugal;Vilamoura;Rua do PadrAPSo 100 Porto 4150-557 Portugal;411.564.893;-86.799.128;1000;No;No;International
100 Maneiras;Portugal;Cascais;Rua do Teixeira 39 Lisbon 1200-459 Portugal;38.714.841;-91.449.507;1000;No;No;Creative
Almeja;Portugal;Porto;Rua Fernandes TomA s 819 Porto 4000-219 Portugal;411.502.618;-86.081.647;1000;No;No;Contemporary
Hool;Portugal;Lisbon;Rua de Santa Maria Largo da Oliveira Guimaraes 4800-443 Portugal;4.144.309;-829.276;1000;No;No;Traditional Cuisine
Malhadinha Nova;Portugal;Porto;Herdade da Malhadinha Nova Albernoa 7800-601 Portugal;378.214.769;-79.769.371;1000;No;No;Country cooking
Casinha Velha;Portugal;Guimaraes;Rua Professores Portelas 23 Leiria 2415-534 Portugal;397.594.215;-88.102.638;1000;No;No;Portuguese
DOC;Portugal;Albernoa;Estrada Nacional 222 Folgosa 5110-214 Portugal;411.515.748;-76.821.759;1000;No;No;Modern Cuisine
Sublime Comporta Beach Club;Portugal;Leiria;Praia do Carvalhal Carvalhal 7570-782 Portugal;383.055.852;-87.797.959;1000;No;No;Traditional Cuisine
Prosa;Portugal;Folgosa;Travessa Dos Ourives 1 Aveiro 3800-238 Portugal;406.425.451;-86.526.087;1000;No;No;Contemporary
EsperanASSa Verde;Portugal;Carvalhal;Av Dr Artur Soares 312 Braga 4700-363 Portugal;415.581.218;-8.423.639;1000;No;No;Modern Cuisine
AtlAC ntico;Portugal;Aveiro;Rua Anneliese Pohl Porches 8400 450 Portugal;371.006.695;-83.793.352;1000;No;No;Modern Cuisine Mediterranean Cuisine
Tokkotai;Portugal;Braga;Rua do ComA c rcio do Porto 144 Porto 4050 209 Portugal;411.423.514;-86.157.022;1000;No;No;Japanese
Fauno;Portugal;Porches;Rua Estreita de LA3ios 5 Porto 4050-244 Portugal;411.455.144;-86.129.793;1000;No;No;Contemporary
Culto ao Bacalhau;Portugal;Porto;Rua Formosa 322 Loja R8 Porto 4000 248 Portugal;411.488.977;-86.073.927;1000;No;No;Portuguese
MA;Portugal;Porto;Rua do Norte 13 Coimbra 3000 295 Portugal;402.087.599;-8.426.432;1000;No;No;Japanese
Real by Casa da CalASSada;Portugal;Porto;Rua de Rodrigues Sampaio 105 Porto 4000-124 Portugal;411.482.261;-86.097.288;1000;No;No;Portuguese
NoA c lia;Portugal;Coimbra;Rua da Fortaleza - EdifAcio Cabanas Mar Loja 6A Cabanas 8800-595 Portugal;371.372.121;-75.948.562;1000;No;No;Regional Cuisine
Hibrido;Portugal;Porto;Rua Serpa Pinto 34 A 0vora 7000-537 Portugal;385.709.356;-79.112.754;1000;No;No;Modern Cuisine
Izakaya;Portugal;Cabanas;Rua do PoASSo Novo 180 Cascais 2750-079 Portugal;386.979.091;-94.219.074;1000;No;No;Izakaya Japanese
